id,title,privacy,likes,views,comments,timestamp
4839399,Be a Part of the Beauty & Style Buzz,public,118,17822,33,Wed Oct 02 05:06:55 2015
4839343,Bring Autumn Indoors,public,105,14968,17,Thu Oct 03 03:07:55 2015
4839439,Top Tips for Morning Sickness,public,138,14974,35,Fri Oct 04 06:09:39 2015
4839402,Hershey's Kisses for Halloween,public,104,12175,47,Sat Oct 05 05:08:02 2015
4839270,Have You Been Bitten by Vampire Fever?,public,46,15420,35,Sun Oct 06 04:06:38 2015
4839233,Is Your Baby's Bottle Safe?,public,90,10407,21,Mon Oct 07 04:05:01 2015
4839462,Who Will Win Project Runway?,public,136,11530,36,Tue Oct 08 03:10:06 2015
4839312,Professional Belly Pics,public,150,19883,48,Thu Oct 10 03:07:24 2015
4839503,Strategies for Coping with Bed Rest,public,116,13111,34,Fri Oct 11 06:10:47 2015
4839447,Women Get Aroused As Quickly As Men,public,120,17263,44,Sat Oct 12 06:09:47 2015
4839258,Shoes for Every Mama,public,99,19903,37,Sun Oct 13 04:05:26 2015
4839259,Baby Names: Two Middle Names?,public,115,11182,17,Mon Oct 14 04:05:27 2015
4839431,Clean Hair in a Hurry,public,49,15728,18,Tue Oct 15 03:09:31 2015
4839337,I Want to Hear from You!,public,47,9569,19,Wed Oct 16 05:05:49 2015
4839509,Meet Up with Moms in Your Neighborhood,public,17,17554,12,Thu Oct 17 04:10:53 2015
4839491,Design Deals - Great Art $20. Really.,public,143,9177,43,Fri Oct 18 06:10:35 2015
4839340,The Five O'Clock Buzz,public,70,19469,43,Sat Oct 19 05:07:52 2015
4839398,Is Your Man a Gastrosexual?,public,29,19026,17,Sun Oct 20 05:08:54 2015
