id,title,privacy,likes,views,comments,timestamp
4839210,Top 5 Makeup Looks for Fall,public,95,7125,11,Thu Oct 03 02:05:34 2015
4839211,Giving Your Baby Grown-up Food,public,38,16202,16,Fri Oct 04 04:05:35 2015
4839212,Paris Hilton's My New BFF,private,113,11227,11,Sat Oct 05 04:05:36 2015
4839213,5 Pretty No-Carve Pumpkin Ideas,public,57,11236,13,Sun Oct 06 04:05:37 2015
4839214,Beauty for the Fight Against Breast Cancer,public,78,6969,40,Mon Oct 07 04:05:38 2015
4839215,Design Deals - Bird Wall Art,private,99,1166,1,Tue Oct 08 01:05:39 2015
4839216,Project Runway Inspires Feather Headbands,private,40,14442,4,Wed Oct 09 04:03:40 2015
4839217,Politicians as the New Rockstars?,private,95,5307,36,Thu Oct 10 02:05:41 2015
4839218,Be Inspired - One Family's 12-Year Renovation Project,public,80,19132,19,Fri Oct 11 04:05:42 2015
4839219,Paris Fashion Week is Kind of Nuts,private,91,15180,34,Sat Oct 12 04:05:43 2015
4839220,Simple Ways to Prep Your Garden for Winter,private,66,13468,11,Sun Oct 13 04:05:44 2015
4839221,Cupcakes Make Mom's Life Easier,public,58,7925,33,Mon Oct 14 04:05:45 2015
4839222,Sarah Palin Knows Cheesesteak,public,71,20108,31,Tue Oct 15 01:05:46 2015
4839223,Kids Are Afraid of the Darndest Things,private,72,4701,13,Wed Oct 16 04:03:47 2015
4839224,Share Your Autumn - Photos and Words,public,47,15842,9,Thu Oct 17 02:05:48 2015
4839225,Starbucks Debuts New Signature Hot Chocolate,public,24,1789,8,Fri Oct 18 04:05:49 2015
4839226,Insider Tips from Fashion Week,private,61,5606,39,Sat Oct 19 04:05:50 2015
4839227,Kids Eating Healthy Adult Food? Fabulous!,public,41,7321,12,Sun Oct 20 04:05:51 2015
4839228,Evidence of Addiction,private,41,17218,0,Wed Oct 02 04:03:52 2015
4839229,The Frugal Gal's Guide to Low-Carb Dieting,public,61,16837,7,Thu Oct 03 02:05:53 2015
4839230,Do You Do the Flu Shot?,public,62,10674,16,Fri Oct 04 04:05:54 2015
4839231,Are You a Reality TV Addict?,private,106,13497,22,Sat Oct 05 04:05:55 2015
4839232,An SEO friendly title here,public,107,12257,41,Sun Oct 06 04:05:00 2015
4839233,Is Your Baby's Bottle Safe?,public,90,10407,21,Mon Oct 07 04:05:01 2015
4839234,Yay! My Baby Claps,public,103,16530,39,Tue Oct 08 01:05:02 2015
4839235,My Daughter's Bad Words,private,127,2186,27,Wed Oct 09 04:03:03 2015
